35,2009-12-01,300007,"195,169.20",40.30,0.02,"9,879.15",5.06,"18,992.96",9.73,"88,530.82",45.36,"37,426.57",19.18,"40,299.39",20.65
36,2009-12-01,300008,"125,792.77",30.86,0.02,"2,036.11",1.62,"14,278.84",11.35,"57,428.44",45.65,"25,491.03",20.26,"26,527.49",21.09
37,2009-12-01,300009,"210,907.80",40.02,0.02,"13,361.15",6.34,"18,734.03",8.88,"90,731.85",43.02,"39,322.18",18.64,"48,718.58",23.10
38,2009-12-01,300010,"267,693.50",78.57,0.03,"23,361.73",8.73,"24,912.52",9.31,"118,412.93",44.23,"45,461.53",16.98,"55,466.22",20.72
39,2009-12-01,300011,"156,017.34",21.24,0.01,621.08,0.40,"17,615.07",11.29,"57,870.21",37.09,"34,339.63",22.01,"45,550.12",29.20
40,2009-12-01,300012,"246,704.69",47.20,0.02,"10,427.58",4.23,"20,076.92",8.14,"105,208.36",42.65,"48,324.59",19.59,"62,620.05",25.38
41,2009-12-01,300013,"198,469.80",60.12,0.03,"17,902.38",9.02,"19,454.83",9.80,"86,348.20",43.51,"33,723.90",16.99,"40,980.37",20.65
42,2009-12-01,300014,"211,760.66",48.94,0.02,"17,906.66",8.46,"18,466.30",8.72,"91,527.83",43.22,"35,904.48",16.96,"47,906.46",22.62
43,2009-12-01,300015,"221,288.58",30.94,0.01,"5,650.26",2.55,"18,045.76",8.15,"84,762.66",38.30,"44,313.38",20.03,"68,485.57",30.95
44,2009-12-01,300016,"151,876.03",38.73,0.03,"14,014.07",9.23,"14,189.31",9.34,"71,736.16",47.23,"24,908.30",16.40,"26,989.45",17.77
45,2009-12-01,300017,"277,130.97",54.80,0.02,"21,432.20",7.73,"23,135.38",8.35,"121,722.03",43.92,"50,540.04",18.24,"60,246.52",21.74
46,2009-12-01,300018,"199,245.35",29.35,0.01,"4,281.42",2.15,"17,940.21",9.00,"85,679.17",43.00,"42,327.43",21.24,"48,987.76",24.59
47,2009-12-01,300019,"141,736.74",25.91,0.02,"7,281.22",5.14,"14,263.51",10.06,"64,733.00",45.67,"26,966.31",19.03,"28,466.78",20.08
48,2009-12-01,300020,"206,296.24",45.00,0.02,"17,192.44",8.33,"18,588.74",9.01,"91,045.66",44.13,"35,780.63",17.34,"43,643.77",21.16
49,2009-12-01,300021,"326,666.27",85.86,0.03,"21,833.59",6.68,"28,241.77",8.65,"136,410.95",41.76,"58,693.30",17.97,"81,400.80",24.92
50,2009-12-01,300022,"537,229.07",98.10,0.02,"2,986.34",0.56,"64,227.69",11.96,"186,692.10",34.75,"109,263.34",20.34,"173,961.50",32.38
51,2009-12-01,300023,"168,379.38",40.78,0.02,"12,508.88",7.43,"15,260.75",9.06,"73,878.78",43.88,"30,557.86",18.15,"36,132.33",21.46
52,2009-12-01,300024,"187,124.65",37.54,0.02,"1,109.17",0.59,"25,270.58",13.50,"73,392.64",39.22,"38,018.84",20.32,"49,295.88",26.34
53,2009-12-01,300025,"100,393.00",22.22,0.02,"6,099.63",6.08,"10,284.26",10.24,"45,286.39",45.11,"17,684.96",17.62,"21,015.55",20.93
54,2009-12-01,300026,"173,560.99",20.43,0.01,547.34,0.32,"14,003.89",8.07,"65,952.33",38.00,"36,742.26",21.17,"56,294.74",32.44
55,2009-12-01,300027,"459,674.18",56.41,0.01,"1,839.00",0.40,"43,245.97",9.41,"164,389.76",35.76,"92,397.64",20.10,"157,745.40",34.32
56,2009-12-01,300028,"460,957.87",165.08,0.04,"39,831.18",8.64,"47,579.18",10.32,"204,324.24",44.33,"77,907.67",16.90,"91,150.52",19.77
