166,2002-01-16,8y,3.1763
167,2002-01-16,9y,3.3169
168,2002-01-16,10y,3.4414
169,2002-01-16,15y,3.822
170,2002-01-16,20y,3.7993
171,2002-01-16,30y,2.5444
172,2002-01-17,0d,1.44
173,2002-01-17,1m,1.4637
174,2002-01-17,2m,1.4873
175,2002-01-17,3m,1.5107
176,2002-01-17,6m,1.5804
177,2002-01-17,9m,1.649
178,2002-01-17,1y,1.7165
179,2002-01-17,2y,1.9763
180,2002-01-17,3y,2.2192
181,2002-01-17,4y,2.4455
182,2002-01-17,5y,2.655
183,2002-01-17,6y,2.8477
184,2002-01-17,7y,3.0237
185,2002-01-17,8y,3.1829
186,2002-01-17,9y,3.3253
187,2002-01-17,10y,3.4511
188,2002-01-17,15y,3.8283
189,2002-01-17,20y,3.7868
190,2002-01-17,30y,2.4472
191,2002-01-18,0d,2.1773
192,2002-01-18,1m,2.1888
193,2002-01-18,2m,2.2003
194,2002-01-18,3m,2.2117
195,2002-01-18,6m,2.2458
196,2002-01-18,9m,2.2796
197,2002-01-18,1y,2.313
198,2002-01-18,2y,2.4434
199,2002-01-18,3y,2.5686
200,2002-01-18,4y,2.6885
201,2002-01-18,5y,2.8031
202,2002-01-18,6y,2.9124
203,2002-01-18,7y,3.0164
204,2002-01-18,8y,3.1152
205,2002-01-18,9y,3.2086
206,2002-01-18,10y,3.2968
207,2002-01-18,15y,3.6584
208,2002-01-18,20y,3.888
209,2002-01-18,30y,3.9507
210,2002-01-21,0d,2.178
211,2002-01-21,1m,2.1889
212,2002-01-21,2m,2.1996
213,2002-01-21,3m,2.2104
214,2002-01-21,6m,2.2424
215,2002-01-21,9m,2.2742
216,2002-01-21,1y,2.3057
217,2002-01-21,2y,2.429
218,2002-01-21,3y,2.5478
219,2002-01-21,4y,2.6623
220,2002-01-21,5y,2.7723
221,2002-01-21,6y,2.8779
222,2002-01-21,7y,2.9791
223,2002-01-21,8y,3.076
224,2002-01-21,9y,3.1683
225,2002-01-21,10y,3.2563
226,2002-01-21,15y,3.6301
227,2002-01-21,20y,3.8936
228,2002-01-21,30y,4.09
229,2002-01-22,0d,2.1803
230,2002-01-22,1m,2.1921
231,2002-01-22,2m,2.2039
232,2002-01-22,3m,2.2156
233,2002-01-22,6m,2.2506
234,2002-01-22,9m,2.2852
235,2002-01-22,1y,2.3195
236,2002-01-22,2y,2.4531
237,2002-01-22,3y,2.581
238,2002-01-22,4y,2.7033
239,2002-01-22,5y,2.8199
240,2002-01-22,6y,2.9309
241,2002-01-22,7y,3.0362
242,2002-01-22,8y,3.1359
243,2002-01-22,9y,3.2299
244,2002-01-22,10y,3.3182
245,2002-01-22,15y,3.6752
246,2002-01-22,20y,3.8907
247,2002-01-22,30y,3.8977
248,2002-01-23,0d,2.3195
249,2002-01-23,1m,2.3276
250,2002-01-23,2m,2.3356
251,2002-01-23,3m,2.3436
252,2002-01-23,6m,2.3676
253,2002-01-23,9m,2.3914
254,2002-01-23,1y,2.4151
255,2002-01-23,2y,2.5089
256,2002-01-23,3y,2.6007
257,2002-01-23,4y,2.6905
258,2002-01-23,5y,2.7785
259,2002-01-23,6y,2.8646
260,2002-01-23,7y,2.9487
261,2002-01-23,8y,3.031
262,2002-01-23,9y,3.1113
263,2002-01-23,10y,3.1897
264,2002-01-23,15y,3.5532
265,2002-01-23,20y,3.8688
266,2002-01-23,30y,4.3568
267,2002-01-24,0d,2.1502
268,2002-01-24,1m,2.1614
269,2002-01-24,2m,2.1725
270,2002-01-24,3m,2.1836
271,2002-01-24,6m,2.2167
272,2002-01-24,9m,2.2495
273,2002-01-24,1y,2.282
274,2002-01-24,2y,2.4092
275,2002-01-24,3y,2.5317
276,2002-01-24,4y,2.6495
277,2002-01-24,5y,2.7626
278,2002-01-24,6y,2.871
279,2002-01-24,7y,2.9748
280,2002-01-24,8y,3.0739
281,2002-01-24,9y,3.1684
282,2002-01-24,10y,3.2581
283,2002-01-24,15y,3.6368
284,2002-01-24,20y,3.8986
285,2002-01-24,30y,4.0718
286,2002-01-25,0d,2.3347
287,2002-01-25,1m,2.3408
288,2002-01-25,2m,2.3469
289,2002-01-25,3m,2.3531
290,2002-01-25,6m,2.3715
291,2002-01-25,9m,2.39
292,2002-01-25,1y,2.4084
293,2002-01-25,2y,2.4824
294,2002-01-25,3y,2.5565
295,2002-01-25,4y,2.6307
296,2002-01-25,5y,2.7051
297,2002-01-25,6y,2.7797
298,2002-01-25,7y,2.8544
299,2002-01-25,8y,2.9293
300,2002-01-25,9y,3.0043
301,2002-01-25,10y,3.0795
302,2002-01-25,15y,3.4578
303,2002-01-25,20y,3.84
304,2002-01-25,30y,4.616
305,2002-01-28,0d,2.2602
306,2002-01-28,1m,2.2685
307,2002-01-28,2m,2.2767
308,2002-01-28,3m,2.2849
309,2002-01-28,6m,2.3095
310,2002-01-28,9m,2.334
311,2002-01-28,1y,2.3583
312,2002-01-28,2y,2.4546
313,2002-01-28,3y,2.549
314,2002-01-28,4y,2.6416
315,2002-01-28,5y,2.7323
316,2002-01-28,6y,2.8212
317,2002-01-28,7y,2.9083
318,2002-01-28,8y,2.9935
319,2002-01-28,9y,3.0769
320,2002-01-28,10y,3.1584
321,2002-01-28,15y,3.5384
322,2002-01-28,20y,3.8725
323,2002-01-28,30y,4.4025
324,2002-01-29,0d,1.5534
325,2002-01-29,1m,1.5809
326,2002-01-29,2m,1.6082
327,2002-01-29,3m,1.6353
328,2002-01-29,6m,1.7159
329,2002-01-29,9m,1.7952
330,2002-01-29,1y,1.8731
331,2002-01-29,2y,2.1719
332,2002-01-29,3y,2.4498
333,2002-01-29,4y,2.7068
334,2002-01-29,5y,2.9429
335,2002-01-29,6y,3.1581
336,2002-01-29,7y,3.3524
337,2002-01-29,8y,3.5258
338,2002-01-29,9y,3.6783
339,2002-01-29,10y,3.81
340,2002-01-29,15y,4.1548
341,2002-01-29,20y,3.9774
342,2002-01-29,30y,2.0557
343,2002-01-30,0d,2.183
344,2002-01-30,1m,2.193
345,2002-01-30,2m,2.2031
346,2002-01-30,3m,2.2131
347,2002-01-30,6m,2.243
348,2002-01-30,9m,2.2727
349,2002-01-30,1y,2.3022
350,2002-01-30,2y,2.4178
351,2002-01-30,3y,2.5299
352,2002-01-30,4y,2.6385
353,2002-01-30,5y,2.7435
354,2002-01-30,6y,2.845
355,2002-01-30,7y,2.9429
356,2002-01-30,8y,3.0372
357,2002-01-30,9y,3.128
358,2002-01-30,10y,3.2152
359,2002-01-30,15y,3.5982
360,2002-01-30,20y,3.8924
361,2002-01-30,30y,4.2143
362,2002-01-31,0d,2.1987
363,2002-01-31,1m,2.2087
364,2002-01-31,2m,2.2186
365,2002-01-31,3m,2.2285
366,2002-01-31,6m,2.258
367,2002-01-31,9m,2.2873
368,2002-01-31,1y,2.3164
369,2002-01-31,2y,2.4307
370,2002-01-31,3y,2.5414
371,2002-01-31,4y,2.6486
372,2002-01-31,5y,2.7524
373,2002-01-31,6y,2.8526
374,2002-01-31,7y,2.9494
375,2002-01-31,8y,3.0426
376,2002-01-31,9y,3.1324
377,2002-01-31,10y,3.2186
378,2002-01-31,15y,3.5974
379,2002-01-31,20y,3.8888
380,2002-01-31,30y,4.2093
381,2002-02-01,0d,2.1114
382,2002-02-01,1m,2.1221
383,2002-02-01,2m,2.1327
384,2002-02-01,3m,2.1434
385,2002-02-01,6m,2.1751
386,2002-02-01,9m,2.2066
387,2002-02-01,1y,2.2378
388,2002-02-01,2y,2.3604
389,2002-02-01,3y,2.4791
390,2002-02-01,4y,2.5939
391,2002-02-01,5y,2.7049
392,2002-02-01,6y,2.812
393,2002-02-01,7y,2.9152
394,2002-02-01,8y,3.0145
395,2002-02-01,9y,3.11
396,2002-02-01,10y,3.2016
397,2002-02-01,15y,3.6015
398,2002-02-01,20y,3.9046
399,2002-02-01,30y,4.2204
400,2002-02-04,0d,2.098
401,2002-02-04,1m,2.1093
402,2002-02-04,2m,2.1207
403,2002-02-04,3m,2.132
