182,000612,1010000,2016-02-27
183,000613,405000,2016-02-27
184,000615,765000,2016-02-27
185,000616,507000,2016-02-27
186,000617,456000,2016-02-27
187,000619,1320000,2016-02-27
188,000620,7820000,2016-02-27
189,000622,365000,2016-02-27
190,000623,1790000,2016-02-27
191,000625,29200000,2016-02-27
192,000626,1160000,2016-02-27
193,000627,957000,2016-02-27
194,000628,1630000,2016-02-27
195,000629,1420000,2016-02-27
196,000630,2320000,2016-02-27
197,000631,566000,2016-02-27
198,000632,848000,2016-02-27
199,000633,498000,2016-02-27
200,000635,1270000,2016-02-27
201,000636,1120000,2016-02-27
202,000637,526000,2016-02-27
203,000638,1140000,2016-02-27
204,000639,834000,2016-02-27
205,000650,1540000,2016-02-27
206,000651,7190000,2016-02-27
207,000652,896000,2016-02-27
208,000655,587000,2016-02-27
209,000656,1170000,2016-02-27
210,000657,567000,2016-02-27
211,000661,1420000,2016-02-27
212,000662,2030000,2016-02-27
213,000663,806000,2016-02-27
214,000665,951000,2016-02-27
215,000666,1000000,2016-02-27
216,000667,1020000,2016-02-27
217,000668,504000,2016-02-27
218,000669,522000,2016-02-27
219,000670,475000,2016-02-27
220,000671,15400000,2016-02-27
221,000672,545000,2016-02-27
222,000673,1160000,2016-02-27
223,000676,838000,2016-02-27
224,000678,574000,2016-02-27
225,000679,898000,2016-02-27
226,000680,1070000,2016-02-27
227,000681,4160000,2016-02-27
228,000682,1280000,2016-02-27
229,000683,721000,2016-02-27
230,000685,826000,2016-02-27
231,000686,5660000,2016-02-27
232,000687,486000,2016-02-27
233,000688,1360000,2016-02-27
234,000690,1360000,2016-02-27
235,000691,516000,2016-02-27
236,000692,510000,2016-02-27
237,000693,705000,2016-02-27
238,000695,707000,2016-02-27
239,000697,571000,2016-02-27
240,000698,2850000,2016-02-27
241,000700,1010000,2016-02-27
242,000701,983000,2016-02-27
243,000702,446000,2016-02-27
244,000703,871000,2016-02-27
245,000705,774000,2016-02-27
246,000707,678000,2016-02-27
247,000708,955000,2016-02-27
248,000709,342000,2016-02-27
249,000710,646000,2016-02-27
250,000712,1250000,2016-02-27
251,000713,841000,2016-02-27
252,000715,843000,2016-02-27
253,000716,24500000,2016-02-27
254,000717,955000,2016-02-27
255,000718,2210000,2016-02-27
256,000719,561000,2016-02-27
257,000720,905000,2016-02-27
258,000721,1060000,2016-02-27
259,000722,2500000,2016-02-27
260,000723,746000,2016-02-27
261,000725,3130000,2016-02-27
262,000726,759000,2016-02-27
263,000727,2550000,2016-02-27
264,000728,4700000,2016-02-27
265,000729,5150000,2016-02-27
266,000731,880000,2016-02-27
267,000732,1420000,2016-02-27
268,000733,895000,2016-02-27
269,000735,1380000,2016-02-27
270,000736,7720000,2016-02-27
271,000737,604000,2016-02-27
272,000738,1470000,2016-02-27
273,000739,811000,2016-02-27
274,000748,1550000,2016-02-27
275,000750,5820000,2016-02-27
276,000751,823000,2016-02-27
277,000752,2130000,2016-02-27
278,000753,876000,2016-02-27
279,000755,862000,2016-02-27
280,000756,1160000,2016-02-27
281,000757,312000,2016-02-27
282,000758,1210000,2016-02-27
283,000759,1480000,2016-02-27
284,000760,6900000,2016-02-27
285,000761,1350000,2016-02-27
286,000762,1200000,2016-02-27
287,000766,1380000,2016-02-27
288,000767,1090000,2016-02-27
289,000768,2300000,2016-02-27
290,000776,14600000,2016-02-27
291,000777,1350000,2016-02-27
292,000778,2310000,2016-02-27
293,000779,460000,2016-02-27
294,000780,797000,2016-02-27
295,000782,546000,2016-02-27
296,000783,11700000,2016-02-27
297,000785,635000,2016-02-27
298,000786,1580000,2016-02-27
299,000788,825000,2016-02-27
300,000789,7170000,2016-02-27
301,000790,909000,2016-02-27
302,000791,663000,2016-02-27
303,000792,781000,2016-02-27
304,000793,1280000,2016-02-27
305,000795,870000,2016-02-27
306,000796,2170000,2016-02-27
307,000797,2040000,2016-02-27
308,000798,555000,2016-02-27
309,000800,3590000,2016-02-27
310,000801,1040000,2016-02-27
311,000802,14200000,2016-02-27
312,000803,2410000,2016-02-27
313,000806,399000,2016-02-27
314,000807,920000,2016-02-27
315,000809,573000,2016-02-27
316,000810,710000,2016-02-27
317,000811,1220000,2016-02-27
318,000812,589000,2016-02-27
319,000813,680000,2016-02-27
320,000816,2040000,2016-02-27
321,000818,670000,2016-02-27
322,000819,615000,2016-02-27
323,000820,450000,2016-02-27
324,000821,778000,2016-02-27
325,000822,1210000,2016-02-27
326,000823,1720000,2016-02-27
327,000825,1650000,2016-02-27
328,000826,322000,2016-02-27
329,000828,646000,2016-02-27
330,000829,1000000,2016-02-27
331,000830,1280000,2016-02-27
332,000831,1550000,2016-02-27
333,000833,585000,2016-02-27
334,000835,462000,2016-02-27
335,000836,1000000,2016-02-27
336,000837,783000,2016-02-27
337,000838,1880000,2016-02-27
338,000839,3040000,2016-02-27
339,000848,1120000,2016-02-27
340,000850,602000,2016-02-27
341,000851,1230000,2016-02-27
342,000852,5310000,2016-02-27
343,000856,416000,2016-02-27
344,000858,24800000,2016-02-27
345,000859,562000,2016-02-27
346,000860,1550000,2016-02-27
347,000861,913000,2016-02-27
348,000862,638000,2016-02-27
349,000863,811000,2016-02-27
350,000868,2470000,2016-02-27
351,000869,780000,2016-02-27
352,000875,1140000,2016-02-27
353,000876,18600000,2016-02-27
354,000877,1120000,2016-02-27
355,000878,1840000,2016-02-27
356,000880,417000,2016-02-27
357,000881,5900000,2016-02-27
358,000882,826000,2016-02-27
359,000883,1390000,2016-02-27
360,000885,764000,2016-02-27
361,000886,689000,2016-02-27
362,000887,719000,2016-02-27
363,000888,837000,2016-02-27
364,000889,258000,2016-02-27
365,000890,1150000,2016-02-27
366,000893,727000,2016-02-27
367,000895,1560000,2016-02-27
368,000897,1000000,2016-02-27
369,000898,1740000,2016-02-27
370,000899,543000,2016-02-27
371,000900,1960000,2016-02-27
372,000901,4730000,2016-02-27
373,000902,906000,2016-02-27
374,000903,2390000,2016-02-27
375,000905,1040000,2016-02-27
376,000906,621000,2016-02-27
377,000908,143000,2016-02-27
378,000909,670000,2016-02-27
379,000910,976000,2016-02-27
380,000911,903000,2016-02-27
381,000913,1560000,2016-02-27
382,000915,931000,2016-02-27
383,000916,731000,2016-02-27
384,000917,2200000,2016-02-27
385,000918,1880000,2016-02-27
386,000919,935000,2016-02-27
387,000920,1040000,2016-02-27
388,000921,2410000,2016-02-27
389,000922,591000,2016-02-27
390,000923,667000,2016-02-27
391,000925,419000,2016-02-27
392,000926,901000,2016-02-27
393,000928,812000,2016-02-27
394,000929,1130000,2016-02-27
395,000930,2100000,2016-02-27
396,000931,78700000,2016-02-27
397,000932,1740000,2016-02-27
398,000933,1140000,2016-02-27
399,000935,610000,2016-02-27
400,000936,466000,2016-02-27
401,000937,2220000,2016-02-27
402,000938,1730000,2016-02-27
403,000939,1400000,2016-02-27
404,000948,981000,2016-02-27
405,000949,711000,2016-02-27
406,000950,685000,2016-02-27
407,000951,9030000,2016-02-27
408,000952,848000,2016-02-27
409,000953,485000,2016-02-27
410,000955,437000,2016-02-27
411,000957,2690000,2016-02-27
412,000958,1210000,2016-02-27
413,000959,1280000,2016-02-27
414,000960,1140000,2016-02-27
415,000961,1870000,2016-02-27
416,000962,789000,2016-02-27
417,000963,1690000,2016-02-27
418,000965,768000,2016-02-27
419,000966,748000,2016-02-27
420,000967,647000,2016-02-27
421,000968,3850000,2016-02-27
422,000969,1670000,2016-02-27
423,000970,1120000,2016-02-27
424,000971,312000,2016-02-27
425,000972,966000,2016-02-27
426,000973,860000,2016-02-27
427,000975,3360000,2016-02-27
428,000977,1560000,2016-02-27
429,000978,8400000,2016-02-27
430,000979,870000,2016-02-27
431,000980,558000,2016-02-27
432,000981,390000,2016-02-27
433,000982,1000000,2016-02-27
434,000983,2140000,2016-02-27
435,000985,1140000,2016-02-27
436,000987,2010000,2016-02-27
437,000988,1950000,2016-02-27
438,000989,4860000,2016-02-27
439,000990,801000,2016-02-27
440,000993,797000,2016-02-27
441,000996,1580000,2016-02-27
442,000997,25800000,2016-02-27
443,000998,1940000,2016-02-27
444,000999,1570000,2016-02-27
445,001696,1310000,2016-02-27
446,001896,563000,2016-02-27
447,001979,1330000,2016-02-27
448,002001,1410000,2016-02-27
449,002002,475000,2016-02-27
450,002003,701000,2016-02-27
451,002004,257000,2016-02-27
452,002005,1410000,2016-02-27
453,002006,661000,2016-02-27
454,002007,2010000,2016-02-27
455,002008,2990000,2016-02-27
456,002009,1030000,2016-02-27
457,002010,1020000,2016-02-27
458,002011,1160000,2016-02-27
459,002012,614000,2016-02-27
460,002013,1060000,2016-02-27
461,002014,1260000,2016-02-27
462,002016,746000,2016-02-27
463,002017,913000,2016-02-27
464,002018,758000,2016-02-27
465,002019,889000,2016-02-27
466,002020,1170000,2016-02-27
467,002021,273000,2016-02-27
468,002022,1210000,2016-02-27
469,002023,1020000,2016-02-27
470,002024,4190000,2016-02-27
471,002025,1020000,2016-02-27
472,002026,971000,2016-02-27
473,002027,1320000,2016-02-27
474,002028,1090000,2016-02-27
475,002029,13400000,2016-02-27
476,002030,2120000,2016-02-27
477,002031,116000,2016-02-27
478,002032,15500000,2016-02-27
479,002033,10600000,2016-02-27
480,002034,740000,2016-02-27
481,002035,836000,2016-02-27
482,002036,586000,2016-02-27
483,002037,781000,2016-02-27
484,002038,1350000,2016-02-27
485,002039,762000,2016-02-27
486,002040,1760000,2016-02-27
487,002041,1370000,2016-02-27
488,002042,891000,2016-02-27
489,002043,7880000,2016-02-27
490,002044,1200000,2016-02-27
491,002045,694000,2016-02-27
492,002046,812000,2016-02-27
493,002047,463000,2016-02-27
494,002048,946000,2016-02-27
495,002049,1300000,2016-02-27
496,002050,977000,2016-02-27
497,002051,5760000,2016-02-27
498,002052,1840000,2016-02-27
499,002053,805000,2016-02-27
500,002054,686000,2016-02-27
501,002055,1300000,2016-02-27
502,002056,1160000,2016-02-27
503,002057,1060000,2016-02-27
504,002058,619000,2016-02-27
505,002059,10700000,2016-02-27
506,002060,772000,2016-02-27
507,002061,809000,2016-02-27
508,002062,652000,2016-02-27
509,002063,1160000,2016-02-27
510,002064,930000,2016-02-27
511,002065,1890000,2016-02-27
512,002066,1190000,2016-02-27
513,002067,1300000,2016-02-27
514,002068,527000,2016-02-27
515,002069,3780000,2016-02-27
516,002070,1430000,2016-02-27
517,002071,1150000,2016-02-27
518,002072,1060000,2016-02-27
